class,filename
badrinath temple,9
basantapur tower,1
bhairavnath temple,46
bhimeleshvara,2
bhimsen temple,1
bhupatindra malla column,125
bhuvana lakshmeshvara,5
chasin dega,2
chayasilin mandap,169
dattatreya temple,27
degu tale temple_KDS,3
gaddi durbar,4
garud,2
golden gate,102
gopinath krishna temple,44
hanuman idol,4
indrapura,5
jagannatha temple,8
kala-bhairava,12
kasthamandap,1
kedamatha tirtha,5
kirtipur tower,2
kumari ghar,3
lalitpur tower,2
mahadev temple,36
narayan temple,11
national gallery,46
nyatapola temple,89
palace of the 55 windows,169
panchamukhi hanuman,9
pratap malla column,2
shveta bhairava,4
siddhi lakshmi temple,116
taleju bell_BDS,102
taleju temple,17
trailokya mohan,2
vastala temple,146
vishnu temple,3
